"Subject ID","period","temperature"
"1A","Sat, 8pm-12am",25.14446667
"1P","Sat, 8pm-12am",26.779625
"1E","Sat, 8pm-12am",27.21875
"1B","Sat, 8pm-12am",26.79175
"2N","Sat, 8pm-12am",NA
"3A","Sat, 8pm-12am",NA
"1T","Sat, 8pm-12am",26.90625
"1C","Sat, 8pm-12am",28.677125
"1D","Sat, 8pm-12am",32.72525
"1G","Sat, 8pm-12am",26.7291875
"3B","Sat, 8pm-12am",NA
"2P","Sat, 8pm-12am",NA
"1J","Sat, 8pm-12am",26.8229375
"4S","Sat, 8pm-12am",NA
"1K","Sat, 8pm-12am",30.64575
"1M","Sat, 8pm-12am",27.4270625
"2O","Sat, 8pm-12am",24.46875
"2T","Sat, 8pm-12am",29.125125
"2A","Sat, 8pm-12am",26.36458333
"2B","Sat, 8pm-12am",23.3020625
"2E","Sat, 8pm-12am",27.4375625
"2F","Sat, 8pm-12am",29.1979375
"2R","Sat, 8pm-12am",25.450125
"2K","Sat, 8pm-12am",28.3335
"2J","Sat, 8pm-12am",25.695375
"2I","Sat, 8pm-12am",28.812625
"2D","Sat, 8pm-12am",27.414
"2C","Sat, 8pm-12am",28.626
"2M","Sat, 8pm-12am",22.2499375
"2L","Sat, 8pm-12am",22.0313125
"2G","Sat, 8pm-12am",27.0415625
"2H","Sat, 8pm-12am",28.1563125
"2S","Sat, 8pm-12am",29.71875
"3C","Sat, 8pm-12am",27.340625
"3O","Sat, 8pm-12am",30.843875
"3K","Sat, 8pm-12am",27.2083125
"3H","Sat, 8pm-12am",28.510375
"3V","Sat, 8pm-12am",28.0625625
"3R","Sat, 8pm-12am",24.4583125
"3I","Sat, 8pm-12am",26.833375
"3E","Sat, 8pm-12am",30.3125
"3S","Sat, 8pm-12am",26.552125
"3M","Sat, 8pm-12am",28.0833125
"3Y","Sat, 8pm-12am",28.2916875
"3N","Sat, 8pm-12am",28.4895625
"3T","Sat, 8pm-12am",26.2759375
"3W","Sat, 8pm-12am",25.3373125
"3J","Sat, 8pm-12am",26
"3U","Sat, 8pm-12am",26
"4B","Sat, 8pm-12am",24.7813125
"4A","Sat, 8pm-12am",24.83333333
"4C","Sat, 8pm-12am",28.333375
"4D","Sat, 8pm-12am",26.9270625
"4E","Sat, 8pm-12am",26.2291875
"4R","Sat, 8pm-12am",30.0103125
"4J","Sat, 8pm-12am",26.073
"4I","Sat, 8pm-12am",25.40625
"4N","Sat, 8pm-12am",28.9165
"4M","Sat, 8pm-12am",28.6458125
"4K","Sat, 8pm-12am",26.0833125
"4F","Sat, 8pm-12am",26.6875
"4H","Sat, 8pm-12am",26.6458125
"4G","Sat, 8pm-12am",26.6979375
"4O","Sat, 8pm-12am",26.0104375
"4P","Sat, 8pm-12am",25.53125
"4Q","Sat, 8pm-12am",27.083375
"4L","Sat, 8pm-12am",24.7841875
"5E","Sat, 8pm-12am",25.1353125
"5B","Sat, 8pm-12am",32.041625
"5I","Sat, 8pm-12am",25.4063125
"5A","Sat, 8pm-12am",32.229125
"5D","Sat, 8pm-12am",26.0834375
"3F","Sat, 8pm-12am",NA
"3G","Sat, 8pm-12am",NA
"5G","Sat, 8pm-12am",37.625
"5J","Sat, 8pm-12am",29.322875
"5K","Sat, 8pm-12am",25.5
"5H","Sat, 8pm-12am",24.1145625
"5F","Sat, 8pm-12am",29.53125
"5C","Sat, 8pm-12am",25.9895625
"1A","Sun, 12am-4am",NA
"1P","Sun, 12am-4am",25.1053125
"1E","Sun, 12am-4am",27.4270625
"1B","Sun, 12am-4am",24.072875
"2N","Sun, 12am-4am",NA
"3A","Sun, 12am-4am",NA
"1T","Sun, 12am-4am",24
"1C","Sun, 12am-4am",29.1979375
"1D","Sun, 12am-4am",30.90825
"1G","Sun, 12am-4am",26.2604375
"3B","Sun, 12am-4am",NA
"2P","Sun, 12am-4am",NA
"1J","Sun, 12am-4am",25.3854375
"4S","Sun, 12am-4am",NA
"1K","Sun, 12am-4am",29.416625
"1M","Sun, 12am-4am",25.875
"2O","Sun, 12am-4am",24.1875625
"2T","Sun, 12am-4am",28.9270625
"2A","Sun, 12am-4am",23.1875
"2B","Sun, 12am-4am",23
"2E","Sun, 12am-4am",24.4583125
"2F","Sun, 12am-4am",24.447875
"2R","Sun, 12am-4am",24.542875
"2K","Sun, 12am-4am",27.7500625
"2J","Sun, 12am-4am",25.5220625
"2I","Sun, 12am-4am",25.322875
"2D","Sun, 12am-4am",25.8063125
"2C","Sun, 12am-4am",25.8268125
