"Subject ID","a_q1","a_q2","a_q3a","a_q3b","a_q4","a_q5","a_q6","a_q7a","a_q7b","a_q8","a_q9","a_q10","a_q11","a_q12","a_q13a","a_q13b","a_q13c","a_q14","a_q15","a_q16","a_q17","a_q18","a_q19","a_q20","a_q21","a_q22","a_q23","a_q24"
"1A","2",NA,"3","0","14","1","1","2","1","5",5,"15,14,10,7,1","2","1","3",NA,NA,NA,"1","2","1",1.6,"163","2","2","1","2","1"
"1P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1E","4","2","3","0","14","5","2","2",NA,"2",NA,NA,"3","1","3","4",NA,NA,"1","2","2",1.57,"188","4","4","1","1","4"
"1B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2N","3","2","1","0","15","5","8","1",NA,"1",1,"61,63","1","3","1",NA,NA,26.6666666666667,"1","2","3",NA,"138","2","1","1","2","2"
"3A","3","1","5","0","2","5","2","2",NA,"1",0,"57","1","0","2",NA,NA,26.6666666666667,"1","2","2",1.85,"163","1","1","1","1","1"
"1T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1C","3","1","1","0","15","2","1",NA,"1","2",0,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","4",NA,"5","5"
"1D","2","2","3","0","14","1","1",NA,"1","2",2,"7,4","2",NA,"3",NA,NA,NA,"2","2","2",1.55,"113","2","2","3","2","5"
"1G","3","2","6","0","14","1","1","2",NA,"5",NA,NA,"1","0","3",NA,NA,NA,"2","5","3",1.55,"238","2","2","4","3","4"
"3B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2P",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1J","1","2","2","0",NA,"1","1",NA,"1","2",3,"30,7,3,9","1","1","3",NA,NA,NA,"1","2","2",1.65,"163","4","4","2","3","1"
"4S","2","2","1","0","10","5","8","1",NA,"1",5,"43,17,15,13,9","1","3","1",NA,NA,27.2222222222222,"1","1","2",1.7,"138","2","1","1","3","3"
"1K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2O","3","2","1","0","7","5","7","1",NA,"1",1,"58,59","1","3","1","4",NA,25,"1","1","3",1.57,"113","1","1","2","2","1"
"2T","4","2","1","0","9","5","4","1",NA,"1",1,"71,73","1","3","1","4",NA,28.3333333333333,"1","1","1",NA,"138","2","3","3","2","3"
"2A","4","1","1","0","15","5",NA,"1",NA,"1",1,"72","1","1","1","3",NA,23.3333333333333,"1","1","2",1.91,"213","5","2","1","3","2"
"2B","4","2","1","0","15","5",NA,"1",NA,"1",1,"75","1","1","1","3",NA,23.3333333333333,"1","1","3",1.7,"138","2","2","1","3","2"
"2E","3","1","1","0","7","5","8","1",NA,"1",1,"59","1","2","1",NA,NA,23.8888888888889,"1","1","3",NA,"213","1","1","1","1","2"
"2F","3","2","1","0","2","5","8","1",NA,"1",1,"58","1","2","1",NA,NA,23.8888888888889,"1","1","3",NA,"138","1","1","1","1","2"
"2R","3","2","1","0","10","5","8","1",NA,"1",2,"62,25","1","2","1","4",NA,23.3333333333333,"1","1","1",1.68,"138","2","1","2","3","5"
