"Subject ID","dow","b_q1a","b_q1b","b_q2a","b_q2b","b_q3a","b_q3b","b_q4","b_q5"
"1A","1","7","8","6","7","5","6",4,"all day"
"1A","2","7","7","8","7","8","3",3,NA
"1A","3","7","6","5","5","7","7",NA,NA
"1A","4","4","7","5","7","7","5",5,NA
"1A","5","8","7","8","6","8","6",4,"10 hours"
"1A","6","8","7","7","7","8","6",NA,NA
"1A","7","8","6","7","7","8","6",5,"1:20-2:40 pm and 4-8pm"
"1P","1","0","0","0","0","0","0",NA,NA
"1P","2","0","0","0","0","0","0",NA,NA
"1P","3","0","0","0","0","0","0",NA,NA
"1P","4","0","0","0","0","0","0",NA,NA
"1P","5","0","0","0","0","0","0",NA,NA
"1P","6","0","0","0","0","0","0",NA,NA
"1P","7","0","0","0","0","0","0",NA,NA
"1E","1","0","0","0","0","0","0",NA,NA
"1E","2","0","0","0","0","0","0",NA,NA
"1E","3","0","0","0","0","0","0",NA,NA
"1E","4","0","0","0","0","0","0",NA,NA
"1E","5","0","0","0","0","0","0",NA,NA
"1E","6","0","0","0","0","0","0",NA,NA
"1E","7","0","0","0","0","0","0",NA,NA
"1B","1","4","7","4","7","8","1",0,NA
"1B","2","9","1","8","1","9","1",4,NA
"1B","3","9","0","8","1","8","3",2,NA
"1B","4","4","7","4","7","4","0",1,"6~8"
"1B","5","9","3","8","9","9","1",2,NA
"1B","6","4","7","6","7","7","6",2,NA
"1B","7","6","7","8","3","8","1",1,NA
"2N","1","0","0","0","0","0","0",NA,NA
"2N","2","4","7","4","7","6","5",1,"9~12"
"2N","3","4","7","4","7","4","8",1,NA
"2N","4","4","6","6","3","5","5",4,"15 mins"
"2N","5","5","6","7","4","5","5",1,"3 hours"
"2N","6","7","4","4","7","6","5",1,"10 mins"
"2N","7","5","6","4","7","7","4",2.5,NA
"3A","1","0","0","0","0","0","0",NA,NA
"3A","2","9","3","9","5","7","6",NA,NA
"3A","3","6","4","5","5","8","4",3,NA
"3A","4","6","3","6","4","7","2",2,NA
"3A","5","5","5","5","4","5","4",2,NA
"3A","6","5","4","5","6","7","4",2,NA
"3A","7","7","6","4","6","6","4",3,NA
"1T","1","0","0","0","0","0","0",NA,NA
"1T","2","0","0","0","0","0","0",NA,NA
"1T","3","0","0","0","0","0","0",NA,NA
"1T","4","0","0","0","0","0","0",NA,NA
"1T","5","0","0","0","0","0","0",NA,NA
"1T","6","0","0","0","0","0","0",NA,NA
"1T","7","0","0","0","0","0","0",NA,NA
"1C","1","9","1","8","6","9","9",7.5,NA
"1C","2","0","0","0","0","0","0",NA,NA
"1C","3","0","0","0","0","0","0",NA,NA
"1C","4","0","0","0","0","0","0",NA,NA
"1C","5","5","7","8","4","9","9",5,NA
"1C","6","8","3","7","7","0","0",NA,NA
"1C","7","8","1","7","5","7","7",2,"Picked up at 10:44"
"1D","1","9","6","9","4","9","5",10,NA
"1D","2","9","6","9","5","8","4",5,NA
"1D","3","9","4","9","4","9","4",5,NA
"1D","4","8","5","8","3","8","4",2,NA
"1D","5","8","4","9","4","8","4",5,"Late in the afternoon"
"1D","6","0","0","0","0","0","0",NA,"All day (""No"")"
"1D","7","0","0","0","0","0","0",NA,"All day (""No"")"
"1G","1","0","0","0","0","0","0",NA,NA
"1G","2","0","0","0","0","0","0",NA,NA
"1G","3","0","0","0","0","0","0",NA,NA
"1G","4","0","0","0","0","0","0",NA,NA
"1G","5","0","0","0","0","0","0",NA,NA
"1G","6","0","0","0","0","0","0",NA,NA
"1G","7","0","0","0","0","0","0",NA,NA
"3B","1","0","0","0","0","0","0",NA,NA
"3B","2","4","8","4","6","7","5",8,NA
"3B","3","3","7","6","6","7","5",4,NA
"3B","4","6","5","4","6","7","6",9,NA
"3B","5","6","5","3","7","6","5",9,NA
"3B","6","7","4","4","5","7","4",11,NA
"3B","7","3","4","5","5","6","5",10,NA
"2P","1","0","0","0","0","0","0",NA,NA
"2P","2","0","0","0","0","0","0",NA,NA
"2P","3","0","0","0","0","0","0",NA,NA
"2P","4","0","0","0","0","0","0",NA,NA
"2P","5","0","0","0","0","0","0",NA,NA
"2P","6","0","0","0","0","0","0",NA,NA
"2P","7","0","0","0","0","0","0",NA,NA
"1J","1","0","0","0","0","0","0",NA,NA
"1J","2","0","0","0","0","0","0",NA,NA
"1J","3","0","0","0","0","0","0",NA,NA
"1J","4","0","0","0","0","0","0",NA,NA
"1J","5","0","0","0","0","0","0",NA,NA
"1J","6","0","0","0","0","0","0",NA,NA
"1J","7","0","0","0","0","0","0",NA,NA
"4S","1","0","0","0","0","0","0",NA,NA
"4S","2","0","0","0","0","0","0",NA,NA
"4S","3","5","7","6","6","5","5",2,NA
"4S","4","5","5","5","7","6","6",2,"8am-4pm"
"4S","5","5","6","6","4","5","4",3,NA
"4S","6","5","5","6","3","7","3",3.5,NA
"4S","7","5","5","7","3","7","3",4,NA
"1K","1","0","0","0","0","0","0",NA,NA
"1K","2","0","0","0","0","0","0",NA,NA
"1K","3","0","0","0","0","0","0",NA,NA
"1K","4","0","0","0","0","0","0",NA,NA
