tree,direction,fid,soil_moisture,conductivity,soil_temp,CO2_flux_umol,CO2_r2,CH4_flux_umol,CH4_r2,CO2_SE_umol,CH4_SE_umol,Leaf Code,FreshMass_g,DryMass_g,LeafArea_cm2
BBoak 01,N,BBoak 01 N,1.8,1.126,21.5,9.251856606,0.999333961,-0.006760501,0.996029295,0.026060561,4.66E-05,L1,0.4,0.28,54.659
BBoak 01,E,BBoak 01 E,0.7,1.144,21,8.384518263,0.995324814,-0.005904137,0.989306842,0.062698264,6.70E-05,L2,0.78,0.55,90.151
BBoak 01,S,BBoak 01 S,2.1,1.31,21.5,5.125493925,0.99706647,-0.006337076,0.995345672,0.030333971,4.73E-05,L3,0.38,0.28,46.997
BBoak 01,W,BBoak 01 W,3.2,1.152,20.5,9.221662607,0.997924051,-0.006718936,0.993928006,0.045891172,5.73E-05,L4,0.63,0.42,70.481
BBoak 02,N,BBoak 02 N,1.9,1.127,20.5,6.026925644,0.997098257,-0.006283712,0.992869505,0.035474535,5.81E-05,L1,0.59,0.42,61.92
BBoak 02,E,BBoak 02 E,2.8,1.144,20.5,4.824143588,0.994811174,-0.005858058,0.997043872,0.038014107,3.48E-05,L2,0.48,0.33,60.889
BBoak 02,S,BBoak 02 S,3.7,1.162,21,4.638372292,0.998122968,-0.007071091,0.993517004,0.021946728,6.23E-05,L3,0.38,0.27,45.03
BBoak 02,W,BBoak 02 W,2.8,1.145,21,7.277928919,0.998033531,-0.006313331,0.994388772,0.035248383,5.17E-05,L4,0.27,0.18,30.761
BBoak 03,N,BBoak 03 N,2.4,1.137,21,11.16714034,0.998283874,-0.007680005,0.991526203,0.050518431,7.75E-05,L1,1.34,0.94,108.926
BBoak 03,E,BBoak 03 E,3.5,1.158,21,11.52171924,0.999022793,-0.006540796,0.994385121,0.039317258,5.36E-05,L2,0.53,0.36,56.607
BBoak 03,S,BBoak 03 S,3.4,1.155,20,10.37250578,0.999437624,-0.007299559,0.992407911,0.026846011,6.97E-05,L3,0.65,0.44,71.882
BBoak 03,W,BBoak 03 W,2.9,1.147,21,8.662758875,0.999283522,-0.007105382,0.995088864,0.02530893,5.45E-05,L4,0.82,0.56,86.97
BBoak 04,N,BBoak 04 N,3.9,1.166,21,9.134800323,0.988850816,-0.006569013,0.994679335,0.105831651,5.24E-05,L1,0.88,0.59,88.389
BBoak 04,E,BBoak 04 E,3.1,1.151,19,6.853010254,0.998978286,-0.004601455,0.993774498,0.023912683,3.97E-05,L2,0.65,0.46,62.065
BBoak 04,S,BBoak 04 S,2.5,1.138,20,7.707035789,0.999236979,-0.006977616,0.993905324,0.023237084,5.96E-05,L3,0.49,0.35,49.688
BBoak 04,W,BBoak 04 W,3.5,1.158,20,9.333264675,0.999238325,-0.005219626,0.994198709,0.028115394,4.35E-05,L4,0.54,0.38,56.547
BBoak 05,N,BBoak 05 N,3.3,1.154,20,5.967339375,0.999127353,-0.009075297,0.997792363,0.019241985,4.66E-05,L1,0.46,0.33,47.134
BBoak 05,E,BBoak 05 E,2.7,1.143,20.5,6.617093273,0.998897616,-0.007542218,0.996287303,0.023984661,5.02E-05,L2,0.29,0.20,26.641
BBoak 05,S,BBoak 05 S,2.8,1.145,21,6.433268616,0.997802421,-0.005830332,0.996177555,0.032941395,3.94E-05,L3,0.88,0.63,100.571
BBoak 05,W,BBoak 05 W,2.6,1.142,20,6.136359834,0.998965353,-0.006642126,0.996510153,0.021547257,4.29E-05,L4,0.31,0.21,38.172
ADoak 01,N,ADoak 01 N,10.9,1.285,21,6.696718641,0.999262073,-0.002295672,0.967261029,0.019855895,4.61E-05,L1,1.46,1.03,32.33902
ADoak 01,E,ADoak 01 E,11.5,1.295,22,7.554105186,0.998487099,-0.002888269,0.985486671,0.032083176,3.82E-05,L2,1.49,1.08,35.4594
ADoak 01,S,ADoak 01 S,11.8,1.301,20.5,11.70965339,0.999465574,-0.001660886,0.922457672,0.02954366,5.25E-05,L3,1.73,1.18,43.27825
ADoak 01,W,ADoak 01 W,11.4,1.294,23,5.954001985,0.998011435,-0.003247652,0.989094906,0.028998229,3.72E-05,L4,1.62,1.11,38.60583
ADoak 02,N,ADoak 02 N,6.9,1.221,21,9.719439277,0.998816011,-0.003930394,0.986183945,0.036511758,5.08E-05,L1,1.68,1.13,32.15075
ADoak 02,E,ADoak 02 E,3.3,1.154,22,7.367511575,0.997625264,-0.001168857,0.115658003,0.039219777,0.00035265,L2,1.41,1.00,44.85597
ADoak 02,S,ADoak 02 S,4.9,1.184,22,4.783624399,0.970475067,-0.004338506,0.993661046,0.09103737,3.78E-05,L3,1.78,1.27,62.35184
ADoak 02,W,ADoak 02 W,6.9,1.219,22,8.963060583,0.999170381,-0.003059482,0.976649096,0.028179685,5.16E-05,L4,1.82,1.33,55.53679
ADoak 03,N,ADoak 03 N,10.2,1.158,20,9.048392,0.999238325,-0.006642126,0.991526203,0.026060561,5.96E-05,L1,1.13,0.79,36.78549
ADoak 03,E,ADoak 03 E,9.2,1.143,20.5,10.382002,0.999022793,-0.006569013,0.993905324,0.032083176,4.35E-05,L2,1.37,1.00,34.28338
ADoak 03,S,ADoak 03 S,9.8,1.127,21,8.23984902,0.998122968,-0.006313331,0.985486671,0.045891172,4.66E-05,L3,1.62,1.12,38.00935
ADoak 03,W,ADoak 03 W,8.2,1.154,21,7.389029803,0.997802421,-0.002888269,0.996510153,0.019855895,5.02E-05,L4,1.29,0.92,41.15192
